,Title,Topics 1,Topics 2_1,Topics 3_1,Topics 4,Keywords 1,Keywords 2_1,Keywords 3_1,Keywords 4_1,Keywords 5_1,Keywords 6,High-Level Keyword(s) 1,High-Level Keyword(s) 2_1,High-Level Keyword(s) 3_1,High-Level Keyword(s) 4
0,The cascade auction – a mechanism for deterring collusion in auctions,Auctions and Market-Based Systems,E-Commerce,Game Theory,Mechanism Design,Mediators,Auctions,Collusion,Ad Exchanges,,,Multiagent Systems,,,
1,Basis Adaptation for Sparse Nonlinear Reinforcement Learning,Dimension Reduction/Feature Selection,Online Learning,Reinforcement Learning,Sequential Decision Making,Reinforcement learning,Sparsity,Mirror descent,Online learning,Markov decision processes,,Machine Learning,Reasoning under Uncertainty,,
2,Optimal Coalition Structures in Cooperative Graph Games,Coordination and Collaboration,Game Theory,,,Cooperative Game Theory,Coalition Structure Generation,Optimal Coalition Structure,Deng and Papadimitriou's Cooperative Graph Game,Planar Graphs,Minor Free Graphs,Multiagent Systems,,,
3,External Memory Best-First Search for Multiple Sequence Alignment,Heuristic Search,Evaluation and Analysis (Search and Optimization),Search (General/Other),,External-Memory Search,Parallel Search,Multiple Sequence Alignment,Dynamic Programming,,,Heuristic Search and Optimization,,,
4,Posted Prices Exchange for Display Advertising Contracts,Auctions and Market-Based Systems,E-Commerce,Mechanism Design,,Display Advertising,Dynamic Pricing,Market Equilibrium,,,,Multiagent Systems,,,
5,Gradient Networks for Shape-Based Object Instance Detection,"Vision, Object Recognition, and Perception",,,,object detection,instance detection,shape,gradient networks,,,Robotics,,,
6,Unified Constraint Propagation on Multi-View Data,Relational/Graph-Based Learning,Semisupervised Learning,,,pairwise constraint propagation,semi-supervised learning,multi-view data,,,,Machine Learning,,,
7,Progression of Decomposed Situation Calculus Theories,"Action, Change, and Causality",,,,reasoning about actions,decomposition of logical theories,situation calculus,basic action theory,progression,"forgetting
decomposability
inseparability",Knowledge Representation and Reasoning,,,
8,How to Cut a Cake Before the Party Ends,Mechanism Design,Social Choice / Voting,,,Cake cutting,Fair division,Computational social choice,,,,Multiagent Systems,,,
9,Reciprocal Hash Tables for Nearest Neighbor Search,Search (General/Other),Information Retrieval,Machine Learning (General/other),,locality sensitive hashing,nearest neighbor search,hash table construction,reciprocal hash tables,,,Heuristic Search and Optimization,Knowledge-Based Systems,Machine Learning,
10,Automated Workflow Synthesis,Distributed Problem Solving,Computational Social Science,Decision/Utility Theory,,human computation,crowd computing,program synthesis,,,,Multiagent Systems,Applications,Reasoning under Uncertainty,
11,Video Saliency Detection via Dynamic Consistent Spatio-Temporal Attention Modelling,Cognitive Modeling,,,,Video Saliency Map,Spatio-Temporal Attention Model,Optical Flow,,,,Multidisciplinary Topics,,,
12,Symmetry-Aware Marginal Density Estimation,Big Data / Scalability,Machine Learning (General/other),Probabilistic Inference,Relational Probabilistic Models,statistical relational learning,Markov logic network,lifted inference,statistics,Rao-Blackwell,"estimation theory
marginal density estimation
probabilistic inference
probabilistic graphical models",Machine Learning,Reasoning under Uncertainty,,
13,Improving WalkSAT for Random $k$-Satisfiability Problem with $k>3$,SAT and CSP: Solvers and Tools,Heuristic Search,Constraint Satisfaction,,WalkSAT,Random $k$-Satisfiability Problem,Multilevel Make,Linear Make,,,Constraints and Satisfiability,Heuristic Search and Optimization,,
14,A Generalized Student-t Based Approach to Mixed-Type Anomaly Detection,Bayesian Learning,Data Mining and Knowledge Discovery,Graphical Model Learning,Unsupervised Learning (Other),Outlier Detection,Anomaly Detection,Mixed Type Data,INLA,,,Machine Learning,,,
